companyName,contractType,experienceLevel,location,salary,sector,job_title,extracted_skills,day,month,year
OPPBTP,Full-time,Mid-Senior level,Boulogne-Billancourt,41500.0,Non-profit Organizations,Data Analyst,"['Google Analytics', 'Matomo', 'GTM', 'Google Tag Manager', 'Adobe Analytics']",11,10,2024
Leihia,Full-time,Mid-Senior level,Villepinte,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO']",9,10,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,['Python'],6,10,2024
PROXIAD,Full-time,Associate,Nantes,41500.0,IT Services and IT Consulting,Data Analyst,"['GCP', 'Python']",6,9,2024
Crédit Agricole CIB,Full-time,Entry level,Montrouge,41500.0,Banking,Data Analyst,['PowerBI'],12,10,2024
Sopra Steria,Full-time,Not Applicable,Strasbourg,41500.0,"Software Development, IT Services and IT Consulting, and Business Consulting and Services",Data Analyst,"['NoSQL', 'ETL', 'ELT', 'SQL', 'Python', 'R']",10,10,2024
Leihia,Full-time,Mid-Senior level,Gournay-sur-Marne,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",6,10,2024
LCL,Full-time,Associate,Villejuif,41500.0,Banking,Data Analyst,,27,9,2024
Intermarché,Full-time,Not Applicable,Bondoufle,41500.0,"Retail, Food and Beverage Manufacturing, and Food and Beverage Retail",Data Analyst,"['SQL', 'SAS', 'Pack Office']",1,10,2024
Leihia,Full-time,Mid-Senior level,St.-Cloud,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO']",26,9,2024
LEASECOM,Internship,Entry level,Carquefou,41500.0,Construction,Data Analyst,['ETL'],7,10,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,"['Hubspot', 'Python', 'Excel', 'Tableau', 'Crois Dynamique', 'Salesforce', 'Office']",8,10,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,"['Tableau', 'Dbt', 'Airflow']",9,10,2024
LeLynx.fr,Full-time,Mid-Senior level,Paris,41500.0,Insurance,Data Analyst,"['Tableau', 'Tableau Prep', 'Python', 'SQL']",7,10,2024
TieTalent,Full-time,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
Mayoly,Full-time,Entry level,Rueil-Malmaison,41500.0,Tobacco Manufacturing,Data Analyst,"['BI', 'Web Analytics']",30,9,2024
Leihia,Full-time,Mid-Senior level,Clichy-sous-Bois,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",4,10,2024
TieTalent,Full-time,Entry level,Neuilly-sur-Seine,41500.0,"Technology, Information and Internet",Data Analyst,"['SAS', 'SQL', 'Excel', 'Powerpoint']",12,10,2024
LTD Recrutement,Temporary,Entry level,Vair-sur-Loire,41500.0,Staffing and Recruiting,Data Analyst,"['SAS', 'Power BI', 'Python']",9,10,2024
Deezer,Internship,Internship,Paris,41500.0,Musicians,Data Analyst,"['SQL', 'Google Cloud Platform', 'Tableau']",8,10,2024
TieTalent,Full-time,Entry level,L’île-Saint-Denis,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
Lincoln France,Full-time,Associate,Île-de-France,41500.0,"Information Technology & Services, Data Infrastructure and Analytics, and IT System Data Services",Data Analyst,"['BigQuery', 'PowerBI', 'GCP', 'Google Cloud Platform', 'Tableau', 'Looker', 'SQL', 'Terraform', 'Jenkins', 'Airflow', 'Docker', 'Kubernetes']",4,10,2024
GROUPAMA GAN VIE,Full-time,Entry level,Mérignac,41500.0,Insurance,Data Analyst,"['Python', 'R', 'Qlik Sense', 'SAS', 'Datakaiu', 'SAP', 'VBA', 'SQL', 'Pack Office']",1,10,2024
